,rental_id,rent,bedrooms,bathrooms,size_sqft,min_to_subway,floor,building_age_yrs,no_fee,has_roofdeck,has_washer_dryer,has_doorman,has_elevator,has_dishwasher,has_patio,has_gym,neighborhood,borough
261,10552,2995,1,1,800,4,1,66,0,0,0,0,0,0,0,0,Midtown East,Manhattan
262,2361,3935,1,1,752,6,4,14,1,0,0,0,0,0,0,0,Upper West Side,Manhattan
263,5077,2495,0.5,1,500,6,4,96,0,1,1,1,1,1,0,1,Midtown East,Manhattan
264,1128,3400,1,1,636,4,5,31,1,1,0,0,0,0,0,0,Upper West Side,Manhattan
265,4672,5535,2,2,971,8,25,16,1,1,0,1,1,1,1,1,Midtown East,Manhattan
266,2593,3600,1,1,643,3,13,8,0,0,0,0,0,0,0,0,Midtown South,Manhattan
267,4496,5440,2,2,1120,3,14,30,1,0,0,0,0,0,0,0,Upper West Side,Manhattan
268,6774,1950,0,1,400,6,7,75,0,1,1,0,0,0,0,0,Upper East Side,Manhattan
269,1019,4100,1,1,600,6,24,6,1,0,0,0,0,0,0,0,Upper West Side,Manhattan
270,532,2200,0,1,275,1,3,116,1,0,0,0,0,0,0,0,Gramercy Park,Manhattan
271,3307,7000,2.5,2,1367,3,20,29,1,0,0,1,1,1,1,1,Financial District,Manhattan
272,10327,4695,2,2,1033,4,2,108,1,0,0,0,0,0,0,0,Financial District,Manhattan
273,4966,5300,1,1,855,1,11,8,0,1,0,0,1,0,0,0,Flatiron,Manhattan
274,4184,7900,2,2,1025,6,5,2,0,0,0,0,0,0,0,0,Gramercy Park,Manhattan
275,866,3600,1,1,648,4,4,2,0,0,0,0,0,0,0,0,Gramercy Park,Manhattan
276,3240,1950,2,1,900,3,5,91,0,0,0,0,0,0,0,0,Inwood,Manhattan
277,10276,7500,2,2,1600,2,3,116,0,0,0,0,0,0,0,0,Soho,Manhattan
278,4125,5150,1,1,719,4,6,9,0,0,1,1,1,1,0,1,Upper West Side,Manhattan
279,4000,4730,2,2,829,3,21,15,1,0,0,0,0,0,0,0,Financial District,Manhattan
280,8349,1460,0,1,305,5,3,57,1,0,0,0,0,0,0,0,Central Harlem,Manhattan
281,3343,5300,1,2,1141,6,5,113,0,0,0,1,0,0,0,0,Gramercy Park,Manhattan
282,3034,9995,3,3,1947,1,8,90,0,0,0,0,0,0,0,0,Midtown,Manhattan
283,8905,3950,1,1,679,1,6,29,0,0,0,0,0,0,0,0,Tribeca,Manhattan
